hue_deg,max_chroma,a,b,L,R,G,B,a_smooth,b_smooth,L_smooth,hex_smooth
105.77482728,140.336299391,-38.1514717686,135.050887182,86.9324969808,0.776041719373,0.916142603739,0.0,-37.5652349008,135.210666388,87.2289229783,#C8EA00
106.923287275,140.400427584,-40.8693088033,134.320436508,87.0677142527,0.757065374296,0.922491657382,0.0,-40.3402239673,134.462298218,86.8962839169,#C2EB00
107.51561341,140.448940355,-42.2703110308,133.937021216,86.8421832913,0.743389725158,0.922426033891,0.0,-42.859668128,133.774935811,86.6072381825,#BCEB00
108.72499905,140.579155263,-45.1295980305,133.138342621,86.3715862085,0.714918614315,0.922082754126,0.0,-45.2890186513,133.095139573,86.4321148282,#B6EB00
109.962897895,140.753000506,-48.0547028915,132.295701674,85.8743007337,0.684919637813,0.921424766465,0.0,-47.5167508291,132.458297844,86.2358006657,#B1EC00
110.526896806,140.857134636,-49.3911390146,131.913789137,86.2260624167,0.678248845711,0.927585627891,0.0,-49.8969991033,131.757225773,85.9865880942,#ABEC00
111.789452337,141.11292955,-52.380682417,131.031000133,85.7049122058,0.646229039498,0.926585558819,0.0,-52.4295935171,131.004701077,85.7732204185,#A5EC00
112.990466141,141.38292956,-55.2210553045,130.152863287,85.780101821,0.622096399512,0.931949644271,0.0,-54.8036263947,130.295704252,85.4568733775,#9FED00
113.714116823,141.575575851,-56.9379264537,129.621434218,84.8718026331,0.594871888754,0.924371771602,0.0,-57.1254101199,129.568960082,85.1921934495,#98ED00
114.923843936,141.937746595,-59.8144468035,128.718902505,84.9327864411,0.568448177777,0.929457597898,0.0,-59.4983768314,128.813942411,84.839282087,#91ED00
115.57165096,142.141848019,-61.3540338701,128.218514599,84.6368846104,0.549504781626,0.928419655188,0.0,-61.9952951361,127.997809743,84.6039094244,#8AED00
116.867884606,142.573695083,-64.4340098779,127.183005549,84.0244622835,0.509806672472,0.926009612935,0.0,-64.2863019783,127.220495102,84.4835965255,#84ED00
117.986925715,142.949562279,-67.0819512895,126.232282586,84.7060352715,0.489998498995,0.937578716781,0.0,-66.6620831168,126.415873171,84.0802826857,#7CED00
118.720427503,143.28440212,-68.8533411627,125.656823538,83.7353196029,0.456374780723,0.929028903479,0.0,-69.1361664298,125.544579309,83.8858569616,#74ED00
119.921088735,143.772646873,-71.7147714428,124.609652699,83.7481182723,0.421149562423,0.933146035562,0.0,-71.4194747583,124.710316452,83.5629730548,#6CED00
120.64519117,144.067237968,-73.4339747894,123.946845068,82.7250256042,0.383025356595,0.923797056801,0.0,-73.9079973406,123.771194081,83.272479598,#62ED00
121.847410985,144.637402079,-76.3192099256,122.863160779,82.7166547025,0.339763371026,0.927538649297,0.0,-76.2413547018,122.852762053,82.9059675082,#58ED00
122.956856576,145.0904937,-78.9302973232,121.742595367,83.3759380555,0.306276722352,0.938518024993,0.0,-78.6669243973,121.898382623,82.2899345802,#4AEC00
123.79228192,145.541818406,-80.9479829807,120.953895994,81.5872640209,0.230365949603,0.920546925053,0.0,-81.1452666336,120.883953901,82.052588981,#3CEC00
124.996882423,146.196816445,-83.8485326193,119.761983602,81.5344270892,0.142373624946,0.923549375655,0.0,-83.4703849682,119.894158462,81.810224617,#2AEC00
125.647964461,146.529940434,-85.3981538543,119.072157795,81.126192991,0.0245016325852,0.920740476786,0.0,-85.8583162567,118.88185539,81.308467909,#00EB00
126.851013434,147.212083896,-88.2884296399,117.798772646,81.0451936068,0.0,0.923269954742,0.0,-88.2272599479,117.796622726,80.9294630588,#00EB00
127.951720278,147.750817182,-90.8663458626,116.505841774,81.6842520656,0.0,0.933706778469,0.0,-90.6371086839,116.662329852,80.7256068316,#00EB00
128.799874177,148.285016708,-92.9157028559,115.564347197,79.7233109295,0.0,0.913333248482,0.0,-93.1832302147,115.405455019,80.6260821926,#00EC00
129.989576272,149.035743278,-95.7775571946,114.185429509,79.6011566493,0.0,0.915111328607,0.0,-95.6379874615,114.174105575,80.1630760056,#00EB00
130.991882656,149.463138534,-98.0406595044,112.815153523,80.983911952,0.0,0.93371094996,0.0,-98.003951812,112.975349175,79.8832259879,#00EB00
131.80207162,150.168802224,-100.096430265,111.943618887,78.9895719168,0.0,0.91267089498,0.0,-100.162909094,111.882188757,79.2343040272,#00E900
132.971549502,150.92425116,-102.875269862,110.430106579,78.8279754028,0.0,0.913700900102,0.0,-102.517820689,110.615265285,78.8560167513,#00E900
133.58962132,151.322512589,-104.335110187,109.602406901,78.3394625658,0.0,0.909492366263,0.0,-104.865482511,109.275630568,78.5979685391,#00E900
134.745187625,152.086720846,-107.062218559,108.0187577,78.1550617158,0.0,0.910083990102,0.0,-107.146337684,107.924275315,78.0877685451,#00E800
135.951654847,152.881811884,-109.884322707,106.293386568,77.1369480562,0.0,0.900907442535,0.0,-109.490160948,106.523528211,77.5618751184,#00E700
136.969335445,153.39099758,-112.127069518,104.672433907,78.5210543849,0.0,0.919362052674,0.0,-111.931472266,104.948093771,77.3327340247,#00E700
137.676207987,154.059956018,-113.904469351,103.731585885,76.3923263141,0.0,0.895950607637,0.0,-114.320513373,103.399654191,76.9421145256,#00E600
138.798737189,154.850812616,-116.509811968,102.001166087,76.1527816085,0.0,0.895510801523,0.0,-116.668139373,101.83517472,76.6055295925,#00E600
139.91363437,155.631976819,-119.070081425,100.217902184,75.8950254473,0.0,0.894755368295,0.0,-118.801789073,100.355524468,76.1333336429,#00E500
140.971707417,156.256076365,-121.385206132,98.3950869367,76.4413203572,0.0,0.90327291467,0.0,-121.005657473,98.7841941355,75.6097581557,#00E400
141.593167828,156.822378426,-122.889055528,97.4245267196,75.0522126721,0.0,0.888080018552,0.0,-123.256589487,97.1466448621,74.8217843119,#00E200
142.728177187,157.608793058,-125.420569978,95.447432001,73.8827577904,0.0,0.87630981604,0.0,-125.591226398,95.3087489322,74.4067065543,#00E100
143.813672779,158.406516806,-127.850094293,93.5252797685,73.564096592,0.0,0.874487015906,0.0,-127.864611369,93.477043064,73.7065609091,#00DF00
144.890380096,159.192607741,-130.228016302,91.5584519824,73.227249603,0.0,0.872354639587,0.0,-130.141532827,91.5928188064,73.2974976684,#00DF00
145.957737042,159.966331447,-132.552080735,89.549835787,72.8722629194,0.0,0.869914177326,0.0,-132.351565189,89.7021145872,72.9835126209,#00DE00
146.969708409,160.581248509,-134.628509643,87.5300049354,73.3629678222,0.0,0.877378161205,0.0,-134.436320809,87.8306376641,72.6688703786,#00DE00
147.563178597,161.13357194,-135.994059828,86.427100481,71.8617583938,0.0,0.86040195949,0.0,-136.339461429,86.0743762519,72.1365525604,#00DC00
148.60869986,161.886908423,-138.191505152,84.3236563647,71.4615091728,0.0,0.85719842145,0.0,-138.305259033,84.1900031651,71.385984431,#00DA00
149.690628411,162.657541345,-140.424372586,82.0881924523,70.1306732687,0.0,0.842792916599,0.0,-140.334818442,82.1691449514,70.4861841289,#00D800
150.721947471,163.408835357,-142.534446439,79.9148237252,69.6940699367,0.0,0.838985571363,0.0,-142.438751704,80.004545231,69.6543548079,#00D600
151.746383317,164.138268937,-144.582976585,77.6989974944,69.2396181858,0.0,0.834883677073,0.0,-144.583625152,77.6968720675,68.8653377817,#00D400
152.81225721,164.857338559,-146.642933614,75.3245783104,67.8177299387,0.0,0.819081710754,0.0,-146.671615995,75.3162419844,68.125813444,#00D200
153.82573808,165.576987729,-148.598162077,73.0364641321,67.3257004855,0.0,0.814374442952,0.0,-148.593845539,73.0357618534,67.3260763845,#00D000
154.832029581,166.266698676,-150.482158151,70.7088054413,66.8184045389,0.0,0.809407130728,0.0,-150.493367032,70.6726573112,66.5548012907,#00CE00
155.879956375,166.924475913,-152.350512959,68.2136486335,65.3127334872,0.0,0.792318287817,0.0,-152.344172374,68.2529367627,65.5800827628,#00CB00
156.873270517,167.589315309,-154.12156394,65.8234163079,64.7751789906,0.0,0.786842237908,0.0,-154.117648881,65.8211900829,64.7748381508,#00C900
157.861050486,168.211819925,-155.810009984,63.3913018586,64.2228999052,0.0,0.781117982405,0.0,-155.822588336,63.347303445,63.899775709,#00C600
158.890823818,168.793759869,-157.46700108,60.7904346246,62.6382464309,0.0,0.762828813552,0.0,-157.455767885,60.8405959331,63.0040772262,#00C400
159.86757028,169.367370168,-159.018954146,58.2947536227,62.0560709609,0.0,0.756612318915,0.0516734111635,-159.012741496,58.2943854301,62.0659172185,#00C10D
160.839795091,169.876522589,-160.466137623,55.7552831852,61.4596569709,0.0,0.750156622236,0.0946793526265,-160.481616602,55.7217674589,61.1691169408,#00BE17
161.85593609,170.357761392,-161.886980931,53.0506575986,59.7925532529,0.0,0.730659725752,0.113801423956,-161.862299544,53.1434537389,60.0486845323,#00BB1E
162.821240494,170.776171898,-163.157491715,50.4394070695,59.1621461807,0.0,0.723674225702,0.141061125054,-163.1865942,50.3463040102,58.8556244084,#00B823
163.838917938,171.141578793,-164.378571508,47.6353358428,57.4145225885,0.0,0.703079330251,0.154106823228,-164.386497248,47.5594395731,57.74297,#00B428
164.799308957,171.426071252,-165.428444235,44.9480560506,56.7477912693,0.0,0.695543021812,0.175818859841,-165.445252253,44.8376482597,56.4283419099,#00B02C
165.819812947,171.635763636,-166.406042431,42.0459796128,54.9169951167,0.0,0.673836476544,0.185712207225,-166.342432022,42.2599688096,55.3153367575,#00AD30
166.775375216,171.711764903,-167.158084204,39.2823763461,54.2141285641,0.0,0.66575582947,0.204433860638,-167.076562904,39.7572446157,54.183439062,#00AA33
167.286239128,171.719667164,-167.509395389,37.7921492813,53.2644005803,0.0,0.654447750038,0.208421470084,-167.651757862,37.2441897225,52.8753277421,#00A635
168.308653927,171.580408331,-168.020703096,34.7689495715,51.3213528807,0.0,0.631272096576,0.215748544159,-168.038764149,34.6681847461,51.5892765361,#00A238
169.249997462,171.219085844,-168.214257571,31.9364823835,50.5860987873,0.0,0.622668669817,0.232113922487,-168.193637634,31.941997725,50.2779788093,#009E3A
170.250921402,170.567164933,-168.103967376,28.8827613955,48.595460282,0.0,0.59883240541,0.237745529575,-168.087917131,29.0815787212,48.9197512581,#009A3D
171.179732357,169.570754519,-167.565445174,26.0011994305,47.8502233322,0.0,0.589994860492,0.252921507586,-167.566595735,26.0518269769,47.8035024065,#009640
172.111902661,168.118577718,-166.527838841,23.0723874967,47.1007973025,0.0,0.581034524153,0.267808401822,-166.58226911,23.0124517986,47.2706014429,#009545
173.052629429,166.15063921,-164.93070752,20.0971795813,46.348109448,0.0,0.571958771075,0.282482827359,-164.912312206,20.0815732976,46.2159391612,#009148
174.008830782,163.611606618,-162.717959062,17.0769909115,45.5933325418,0.0,0.562776955,0.297006559677,-162.602300938,17.003966747,45.6693266054,#00904C
175.017371875,160.242318794,-159.636775508,13.9176376571,46.0752607623,0.0,0.568264563452,0.323498731036,-159.655338611,13.9347406712,45.2169874742,#008E50
176.008057724,156.723792042,-156.343556695,10.9105120014,44.0836147729,0.0,0.544144055325,0.325795380014,-156.190530864,10.8835188116,44.8678489262,#008D55
177.079866875,152.371562657,-152.173710881,7.76239803506,43.3267272237,0.0,0.534654746488,0.340137354756,-152.44166548,7.91800052561,44.4208621991,#008C59
178.031997503,148.62706233,-148.539396323,5.10405689686,47.1215791843,0.0,0.57906242407,0.393726387431,-148.512882855,5.06495099475,44.5183033578,#008C5E
179.011693969,144.597978746,-144.576467821,2.49407494154,44.0182821964,0.0,0.541695961466,0.381943796851,-144.57210715,2.36856688254,45.3841934503,#008E65
180.073267897,140.833155502,-140.833040354,-0.180092606846,46.5287126911,0.0,0.570519845624,0.423788262302,-140.770537089,-0.134962758592,46.7363611498,#00926C
